Step number1217, going right
Step number1218, going right
Step number1219, going right
Step number1220, going right
Step number1221, going right
Step number1222, going right
Step number1223, going right
Step number1224, going right
Step number1225, going left
Step number1226, going left
Step number1227, going left
Step number1228, going left
Step number1229, going left
Step number1230, going left
Step number1231, going up
Step number1232, going up
Step number1233, going up
Step number1234, going up
Step number1235, going up
Step number1236, going up
Step number1237, going up
Step number1238, going up
Step number1239, going up
Step number1240, going up
Step number1241, going down
Step number1242, going down
Step number1243, going right
Step number1244, going right
Step number1245, going right
Step number1246, going right
Step number1247, going right
Step number1248, going right
Step number1249, going right
Step number1250, going right
Step number1251, going right
Step number1252, going right
Step number1253, going right
Step number1254, going right
Step number1255, going right
Step number1256, going right
Step number1257, going right
Step number1258, going right
Step number1259, going right
Step number1260, going right
Step number1261, going right
Step number1262, going right
Step number1263, going right
Step number1264, going right
Step number1265, going right
Step number1266, going right
Step number1267, going right
Step number1268, going right
Step number1269, going right
Step number1270, going right
Step number1271, going down
Step number1272, going down
Step number1273, going down
Step number1274, going down
Step number1275, going right
Step number1276, going up
Step number1277, going right
Step number1278, going right
Step number1279, going down
Step number1280, going down
Step number1281, going right
Step number1282, going right
Step number1283, going up
Step number1284, going up
Step number1285, going up
Step number1286, going right
Step number1287, going right
Step number1288, going right
Step number1289, going right
Step number1290, going right
Step number1291, going right
Step number1292, going right
Step number1293, going right
Step number1294, going right
Step number1295, going right
Step number1296, going right
Step number1297, going right
Step number1298, going right
Step number1299, going left
Step number1300, going left
Step number1301, going down
Step number1302, going down
Step number1303, going down
Step number1304, going right
Step number1305, going right
Step number1306, going right
Step number1307, going right
Step number1308, going right
Step number1309, going right
Step number1310, going right
Step number1311, going right
Step number1312, going right
